('KEY_NUMERIC_8', 520L)
('KEY_NUMERIC_9', 521L)
('KEY_NUMERIC_STAR', 522L)
('KEY_NUMERIC_POUND', 523L)
('KEY_NUMERIC_A', 524L)
('KEY_NUMERIC_B', 525L)
('KEY_NUMERIC_C', 526L)
('KEY_NUMERIC_D', 527L)
('KEY_CAMERA_FOCUS', 528L)
('KEY_WPS_BUTTON', 529L)
('KEY_TOUCHPAD_TOGGLE', 530L)
('KEY_TOUCHPAD_ON', 531L)
('KEY_TOUCHPAD_OFF', 532L)
('KEY_CAMERA_ZOOMIN', 533L)
('KEY_CAMERA_ZOOMOUT', 534L)
('KEY_CAMERA_UP', 535L)
('KEY_CAMERA_DOWN', 536L)
('KEY_CAMERA_LEFT', 537L)
('KEY_CAMERA_RIGHT', 538L)
('KEY_ATTENDANT_ON', 539L)
('KEY_ATTENDANT_OFF', 540L)
('KEY_ATTENDANT_TOGGLE', 541L)
('KEY_LIGHTS_TOGGLE', 542L)
('BTN_DPAD_UP', 544L)
('BTN_DPAD_DOWN', 545L)
('BTN_DPAD_LEFT', 546L)
('BTN_DPAD_RIGHT', 547L)
('KEY_ALS_TOGGLE', 560L)
('KEY_BUTTONCONFIG', 576L)
('KEY_TASKMANAGER', 577L)
('KEY_JOURNAL', 578L)
('KEY_CONTROLPANEL', 579L)
('KEY_APPSELECT', 580L)
('KEY_SCREENSAVER', 581L)
('KEY_VOICECOMMAND', 582L)
('KEY_BRIGHTNESS_MIN', 592L)
('KEY_BRIGHTNESS_MAX', 593L)
('KEY_KBDINPUTASSIST_PREV', 608L)
('KEY_KBDINPUTASSIST_NEXT', 609L)
('KEY_KBDINPUTASSIST_PREVGROUP', 610L)
('KEY_KBDINPUTASSIST_NEXTGROUP', 611L)
('KEY_KBDINPUTASSIST_ACCEPT', 612L)
('KEY_KBDINPUTASSIST_CANCEL', 613L)
(['BTN_TRIGGER_HAPPY', 'BTN_TRIGGER_HAPPY1'], 704L)
('BTN_TRIGGER_HAPPY2', 705L)
('BTN_TRIGGER_HAPPY3', 706L)
('BTN_TRIGGER_HAPPY4', 707L)
('BTN_TRIGGER_HAPPY5', 708L)
('BTN_TRIGGER_HAPPY6', 709L)
('BTN_TRIGGER_HAPPY7', 710L)
('BTN_TRIGGER_HAPPY8', 711L)
('BTN_TRIGGER_HAPPY9', 712L)
('BTN_TRIGGER_HAPPY10', 713L)
('BTN_TRIGGER_HAPPY11', 714L)
('BTN_TRIGGER_HAPPY12', 715L)
('BTN_TRIGGER_HAPPY13', 716L)
('BTN_TRIGGER_HAPPY14', 717L)
('BTN_TRIGGER_HAPPY15', 718L)
('BTN_TRIGGER_HAPPY16', 719L)
('BTN_TRIGGER_HAPPY17', 720L)
('BTN_TRIGGER_HAPPY18', 721L)
('BTN_TRIGGER_HAPPY19', 722L)
('BTN_TRIGGER_HAPPY20', 723L)
('BTN_TRIGGER_HAPPY21', 724L)
('BTN_TRIGGER_HAPPY22', 725L)
('BTN_TRIGGER_HAPPY23', 726L)
('BTN_TRIGGER_HAPPY24', 727L)
('BTN_TRIGGER_HAPPY25', 728L)
('BTN_TRIGGER_HAPPY26', 729L)
('BTN_TRIGGER_HAPPY27', 730L)
('BTN_TRIGGER_HAPPY28', 731L)
('BTN_TRIGGER_HAPPY29', 732L)
('BTN_TRIGGER_HAPPY30', 733L)
('BTN_TRIGGER_HAPPY31', 734L)
('BTN_TRIGGER_HAPPY32', 735L)
('BTN_TRIGGER_HAPPY33', 736L)
('BTN_TRIGGER_HAPPY34', 737L)
('BTN_TRIGGER_HAPPY35', 738L)
('BTN_TRIGGER_HAPPY36', 739L)
('BTN_TRIGGER_HAPPY37', 740L)
('BTN_TRIGGER_HAPPY38', 741L)
('BTN_TRIGGER_HAPPY39', 742L)
('BTN_TRIGGER_HAPPY40', 743L)
